sb_code,sb_name,sb_credits,sb_type,sb_program_code,sb_program_name,sb_faculty_code,sb_faculty_name,sb_is_active
2016868,Arte mediático,3,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016907,Cuerpo,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016999,Cuerpo y Espacio,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,0
2016880,Curaduria,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,0
2016887,Dibujo en Gran Formato,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016869,Dibujo I,3,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016870,Dibujo II,3,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016871,Dibujo III,3,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016888,El dibujo y el gesto,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016872,El objeto y su disposición,3,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016881,Escritura para Artistas,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016064,Estética y teoría de la imagenEstética y teoría de la imagen,3,B,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016917,Estructuras,3,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016889,Estructuras narrativas de la imagen,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016892,Fotograbado y técnicas mixtas en metal,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,0
2016893,Fotografía a color,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016068,Fotografía I,3,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016918,Fotografía II,3,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016072,Gestión cultural y empresarial en las artes,3,B,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016073,Herencias - Una mirada a la historia de las artes,3,O,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016920,Historia del arte I,3,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016921,Historia del arte II,3,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
1000044-B,Inglés I- Semestral,3,E,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
1000045-B,Inglés II - Semestral,3,E,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
1000049-B,Inglés II - Virtual,3,E,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,0
1000046-B,Inglés III - Semestral,3,E,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
1000050-B,Inglés III- Virtual,3,E,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,0
1000052-B,Inglés Intensivo I y II,6,E,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
1000053-B,Inglés Intensivo III y IV,6,E,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
1000047-B,Inglés IV- Semestral,3,E,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
1000051-B,Inglés IV- Virtual,3,E,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,0
2016876,Instalación,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,0
2029225,Introducción a la curaduría,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,0
2016922,Introducción a la gráfica,3,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016923,Introducción a la historia del arte,3,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016910,Introducción a la Performancia,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016924,Introducción a la pintura,3,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016925,Introducción a la teoria del arte,3,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
1000002-B,Lecto-Escritura,4,E,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016896,Libro Arte,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016897,Marca y aleatoriedad,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016926,Materia y procedimientos,3,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016878,Objeto,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,0
2016927,Pintura avanzada,3,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016928,Pintura intermedia,3,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016898,Pintura y gesto,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016900,Pintura y representación,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016901,Pintura-instalación,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016902,Prácticas contemporáneas del dibujo,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2017000,Prácticas Orientadas al Lugar,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016082,Problemas contemporáneos de las artes,3,O,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2026249,Procesos del fuego,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016929,Procesos del lenguaje gráfico,3,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2027288,Proyecto de trabajo de grado I,6,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2027289,Proyecto trabajo de grado II,6,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016913,Reacción,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016885,Representaciones del Cuerpo,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016085,Responsabilidad socio-ambiental de las artes,3,O,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016873,Seminario Arte y Educación,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016882,Seminario de Arte Colombiano,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,0
2016883,Seminario de Arte Latinoamericano,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,0
2016884,Seminario de Arte Moderno y Contemporáneo,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,0
2016904,Serigrafía-fotoserigrafía,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016915,Sonido,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,0
2016932,Taller Espacio,6,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016919,Taller gramática del arte,3,B,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016933,Taller Imagen,6,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016934,Taller introductorio,4,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016874,Taller Pedagógico,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,0
2016935,Taller Tiempo,6,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016905,Técnicas Fotográficas Experimentales,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016936,Teoría del arte I,3,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2016937,Teoría del arte II,3,C,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2017160,Trabajo de Grado,8,P,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2017161,Trabajo de Grado - Asignaturas de Posgrado,8,P,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2029261,Transmedia,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1
2017001,Video,3,T,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,1